2026-01-27 14:25:32.162 [JavaFX-Launcher] INFO  o.b.s.HelloApplication - 执行初始化...
2026-01-27 14:25:32.172 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 工具开始启动并加载...
2026-01-27 14:25:32.243 [JavaFX Application Thread] INFO  o.b.s.Utils.FileUtil - 成功加载文件/org/bxwbb/spigotplugincreatertool/icon/icon.png
2026-01-27 14:39:41.277 [JavaFX-Launcher] INFO  o.b.s.HelloApplication - 执行初始化...
2026-01-27 14:39:41.283 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 工具开始启动并加载...
2026-01-27 14:39:41.334 [JavaFX Application Thread] INFO  o.b.s.Utils.FileUtil - 成功加载文件/org/bxwbb/spigotplugincreatertool/icon/icon.png
2026-01-27 14:39:53.123 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 执行停止...
2026-01-27 14:40:00.976 [JavaFX-Launcher] INFO  o.b.s.HelloApplication - 执行初始化...
2026-01-27 14:40:00.981 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 工具开始启动并加载...
2026-01-27 14:40:01.024 [JavaFX Application Thread] INFO  o.b.s.Utils.FileUtil - 成功加载文件/org/bxwbb/spigotplugincreatertool/icon/icon.png
2026-01-27 14:40:18.103 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 执行停止...
2026-01-27 14:40:23.716 [JavaFX-Launcher] INFO  o.b.s.HelloApplication - 执行初始化...
2026-01-27 14:40:23.721 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 工具开始启动并加载...
2026-01-27 14:40:23.763 [JavaFX Application Thread] INFO  o.b.s.Utils.FileUtil - 成功加载文件/org/bxwbb/spigotplugincreatertool/icon/icon.png
2026-01-27 14:40:30.831 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 执行停止...
2026-01-27 14:42:24.677 [JavaFX-Launcher] INFO  o.b.s.HelloApplication - 执行初始化...
2026-01-27 14:42:24.683 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 工具开始启动并加载...
2026-01-27 14:42:24.729 [JavaFX Application Thread] INFO  o.b.s.Utils.FileUtil - 成功加载文件/org/bxwbb/spigotplugincreatertool/icon/icon.png
2026-01-27 14:42:29.879 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 执行停止...
2026-01-27 14:42:43.340 [JavaFX-Launcher] INFO  o.b.s.HelloApplication - 执行初始化...
2026-01-27 14:42:43.346 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 工具开始启动并加载...
2026-01-27 14:42:43.381 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:42:43.389 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:42:43.390 [JavaFX Application Thread] INFO  o.b.s.Utils.FileUtil - 成功加载文件/org/bxwbb/spigotplugincreatertool/icon/icon.png
2026-01-27 14:42:43.527 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:42:43.529 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:42:43.529 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:42:43.529 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:42:43.550 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:42:43.561 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:42:56.005 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 执行停止...
2026-01-27 14:44:08.105 [JavaFX-Launcher] INFO  o.b.s.HelloApplication - 执行初始化...
2026-01-27 14:44:08.112 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 工具开始启动并加载...
2026-01-27 14:44:08.146 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:44:08.152 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:44:08.155 [JavaFX Application Thread] INFO  o.b.s.Utils.FileUtil - 成功加载文件/org/bxwbb/spigotplugincreatertool/icon/icon.png
2026-01-27 14:44:08.294 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:44:08.295 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:44:08.295 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:44:08.295 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:44:08.318 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:44:08.329 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:44:20.684 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 执行停止...
2026-01-27 14:45:09.601 [JavaFX-Launcher] INFO  o.b.s.HelloApplication - 执行初始化...
2026-01-27 14:45:09.607 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 工具开始启动并加载...
2026-01-27 14:45:09.640 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:45:09.646 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:45:09.648 [JavaFX Application Thread] INFO  o.b.s.Utils.FileUtil - 成功加载文件/org/bxwbb/spigotplugincreatertool/icon/icon.png
2026-01-27 14:45:09.783 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:45:09.785 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:45:09.785 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:45:09.786 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:45:09.807 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:45:09.819 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:45:39.031 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 执行停止...
2026-01-27 14:45:51.670 [JavaFX-Launcher] INFO  o.b.s.HelloApplication - 执行初始化...
2026-01-27 14:45:51.676 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 工具开始启动并加载...
2026-01-27 14:45:51.711 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:45:51.718 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:45:51.719 [JavaFX Application Thread] INFO  o.b.s.Utils.FileUtil - 成功加载文件/org/bxwbb/spigotplugincreatertool/icon/icon.png
2026-01-27 14:45:51.855 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:45:51.856 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:45:51.856 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:45:51.856 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:45:51.873 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:45:51.886 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:46:04.645 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 执行停止...
2026-01-27 14:47:11.903 [JavaFX-Launcher] INFO  o.b.s.HelloApplication - 执行初始化...
2026-01-27 14:47:11.908 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 工具开始启动并加载...
2026-01-27 14:47:11.945 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:47:11.951 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:47:11.952 [JavaFX Application Thread] INFO  o.b.s.Utils.FileUtil - 成功加载文件/org/bxwbb/spigotplugincreatertool/icon/icon.png
2026-01-27 14:47:12.088 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:47:12.089 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:47:12.089 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:47:12.089 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:47:12.090 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:47:12.113 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:47:12.124 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:47:19.971 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 执行停止...
2026-01-27 14:47:54.885 [JavaFX-Launcher] INFO  o.b.s.HelloApplication - 执行初始化...
2026-01-27 14:47:54.891 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 工具开始启动并加载...
2026-01-27 14:47:54.926 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:47:54.934 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:47:54.935 [JavaFX Application Thread] INFO  o.b.s.Utils.FileUtil - 成功加载文件/org/bxwbb/spigotplugincreatertool/icon/icon.png
2026-01-27 14:47:55.080 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:47:55.081 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:47:55.082 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:48:01.225 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 执行停止...
2026-01-27 14:48:21.543 [JavaFX-Launcher] INFO  o.b.s.HelloApplication - 执行初始化...
2026-01-27 14:48:21.549 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 工具开始启动并加载...
2026-01-27 14:48:21.585 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:48:21.592 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:48:21.593 [JavaFX Application Thread] INFO  o.b.s.Utils.FileUtil - 成功加载文件/org/bxwbb/spigotplugincreatertool/icon/icon.png
2026-01-27 14:48:21.735 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:48:21.737 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:48:21.738 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:48:21.738 [JavaFX Application Thread] INFO  o.b.s.BxWinLab.Base.BaseLabel - 控件库Debug模式已开启
2026-01-27 14:48:24.946 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 执行停止...
2026-01-27 14:48:29.149 [JavaFX-Launcher] INFO  o.b.s.HelloApplication - 执行初始化...
2026-01-27 14:48:29.154 [JavaFX Application Thread] INFO  o.b.s.HelloApplication - 工具开始启动并加载...
